domain	category
1590game.com	gaming_portal
abcmouse.com	kids
abcya.com	kids
addictinggames.com	gaming_portal
agame.com	gaming_portal
allrecipes.com	mfa_recipe
answers.com	mfa_slideshow
arcadetown.com	gaming_portal
arkadium.com	gaming_portal
ask.com	mfa_low_quality
associatedcontent.com	mfa_content_farm
astromendagames.com	gaming_portal
atmegame.com	gaming_portal
basilmarket.com	gaming_portal
beforeitsnews.com	mfa_fake_news
bigfishgames.com	gaming_portal
bleacherreport.com	sports
blogger.com	mfa_social_spam
boardgamegeek.com	gaming_portal
bodis.com	parked_domain
boomplay.com	gaming_portal
bored.com	gaming_portal
brainpop.com	kids
brothersoft.com	mfa_toolbar
bumble.com	dating
cartoonnetwork.com	kids
cbssports.com	sports
cheatsheet.com	mfa_slideshow
christianmingle.com	dating
cocokids.tv	kids
content.ad	mfa_ad_arbitrage
coolmathgames.com	kids
coupons.com	mfa_coupon
dailymotion.com	mfa_video_aggregator
delish.com	mfa_recipe
demandstudios.com	mfa_content_farm
dictionary.com	mfa_low_quality
didagame.com	gaming_portal
diply.com	mfa_clickbait
disneynow.com	kids
dlive.io	gaming_portal
dogonews.com	kids
domainsponsor.com	parked_domain
download.com	mfa_toolbar
duelstgrounds.com	gaming_portal
eharmony.com	dating
ehow.com	mfa_low_quality
epicgames.com	gaming_portal
espn.com	sports
eurogamer.net	gaming_portal
examiner.com	mfa_content_farm
fandom.com	gaming_portal
farmersonly.com	dating
fillgame.com	gaming_portal
fivish.com	gaming_portal
fog.com	gaming_portal
food.com	mfa_recipe
foxsports.com	sports
freegames4brains.com	gaming_portal
freeonlinegames.com	gaming_portal
friv.com	kids
funbrain.com	kids
gamefaqs.com	gaming_portal
gamesonline.in	gaming_portal
gamespot.com	gaming_portal
getmega.com	gaming_portal
ggosugamers.net	gaming_portal
girlsgogames.com	kids
goal.com	sports
gobankingrates.com	mfa_slideshow
groupon.com	mfa_coupon
helium.com	mfa_content_farm
highlightskids.com	kids
hinge.co	dating
hubpages.com	mfa_content_farm
ign.com	gaming_portal
ijgame.com	gaming_portal
ixl.com	kids
jdate.com	dating
kahoot.com	kids
kick.com	gaming_portal
kiddofy.com	kids
kizi.com	kids
kongregate.com	gaming_portal
kotaku.com	gaming_portal
lagged.com	gaming_portal
lakakids.com	kids
lakakids.tv	kids
listverse.com	mfa_listicle
littlethings.com	mfa_clickbait
littleworld.tv	kids
mad.com	gaming_portal
mama.tv	gaming_portal
mashaquiz.com	gaming_portal
match.com	dating
mathplayground.com	kids
medium.com	mfa_social_spam
metacafe.com	mfa_video_aggregator
mgid.com	mfa_ad_arbitrage
miniclip.com	gaming_portal
mlb.com	sports
mmobets.com	gaming_portal
moneywise.com	mfa_slideshow
msn.com	mfa_ad_arbitrage
naturalnews.com	mfa_fake_news
nba.com	sports
nbcsports.com	sports
neogaf.com	gaming_portal
newsbreak.com	mfa_fake_news
newsforkids.net	kids
nfl.com	sports
nhl.com	sports
nickjr.com	kids
offers.com	mfa_coupon
okcupid.com	dating
outbrain.com	mfa_ad_arbitrage
parkingcrew.com	parked_domain
parkingcrew.net	parked_domain
parklogic.com	parked_domain
pbskids.org	kids
pcgamer.com	gaming_portal
pinterest.com	mfa_social_spam
playbuzz.com	mfa_quiz
playretrogames.com	gaming_portal
pof.com	dating
pogo.com	gaming_portal
poki.com	gaming_portal
polygon.com	gaming_portal
primarygames.com	kids
prodigy.com	kids
proprofs.com	mfa_quiz
quizony.com	mfa_quiz
quiztwiz.com	gaming_portal
quizzop.com	gaming_portal
ranker.com	mfa_listicle
readingeggs.com	kids
reference.com	mfa_slideshow
reignofblood.net	gaming_portal
resetera.com	gaming_portal
retailmenot.com	mfa_coupon
revcontent.com	mfa_ad_arbitrage
roblox.com	gaming_portal
runescape.com	gaming_portal
sbnation.com	sports
sedo.com	parked_domain
sedoparking.com	parked_domain
serebii.net	gaming_portal
sesamestreet.org	kids
shareably.net	mfa_clickbait
sharkquiz.com	gaming_portal
shockwave.com	gaming_portal
si.com	sports
slickdeals.net	mfa_coupon
softonic.com	mfa_toolbar
squidoo.com	mfa_content_farm
starfall.com	kids
sudoku-solutions.com	gaming_portal
suite101.com	mfa_content_farm
summoners.war.co	gaming_portal
taboola.com	mfa_ad_arbitrage
tasty.co	mfa_recipe
teamliquid.net	gaming_portal
thegatewaypundit.com	mfa_fake_news
therichest.com	mfa_listicle
thesaurus.com	mfa_low_quality
thescore.com	sports
tinder.com	dating
toolbar.com	mfa_toolbar
toptenz.net	mfa_listicle
trendingpolitics.com	mfa_fake_news
tribalwars.net	gaming_portal
tucows.com	mfa_toolbar
tumblr.com	mfa_social_spam
twitch.tv	gaming_portal
ufunnygames.com	gaming_portal
veoh.com	mfa_video_aggregator
vimeo.com	mfa_video_aggregator
viralthread.com	mfa_clickbait
weather.com	mfa_toolbar
weebly.com	mfa_social_spam
wikia.com	mfa_low_quality
wikihow.com	mfa_low_quality
wimp.com	mfa_clickbait
wineverygame.com	gaming_portal
wix.com	mfa_social_spam
wordplays.com	gaming_portal
wordpress.com	mfa_social_spam
y8.com	gaming_portal
yugiohcardguide.com	gaming_portal
yummly.com	mfa_recipe
zapak.com	gaming_portal
